year,carrier,carrier_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,pct_delayed,avg_delayed_min,avg_delayed_flight
2012,FL,AirTran Airways Corporation,177928,22231,4673,167,9107,0,8284,1294,357,1175778,246669,9035,384504,0,535570,12.49,52.89,6.61
2013,FL,AirTran Airways Corporation,172317,33829,8328,609,11789,0,13103,1321,289,1776810,384780,44320,486560,0,861150,19.63,52.52,10.31
2014,FL,AirTran Airways Corporation,79495,13518,3760,328,4317,0,5112,1516,161,678612,166873,20783,168921,0,322035,17.0,50.2,8.54
2012,AS,Alaska Airlines Inc.,125392,13791,3881,337,5213,76,4283,746,356,711136,236282,23780,185979,3007,262088,11.0,51.57,5.67
2013,AS,Alaska Airlines Inc.,154743,18796,4570,498,8607,143,4978,704,362,848473,256638,32302,270987,5875,282671,12.15,45.14,5.48
2014,AS,Alaska Airlines Inc.,160257,20975,5090,511,9111,111,6152,759,443,989491,289072,33869,304865,3943,357742,13.09,47.17,6.17
2015,AS,Alaska Airlines Inc.,172521,22352,6009,562,9048,163,6569,669,413,1074977,347425,38832,301478,5825,381417,12.96,48.09,6.23
2016,AS,Alaska Airlines Inc.,177280,21196,5140,461,9939,154,5501,815,452,996624,292807,33228,345528,4943,320118,11.96,47.02,5.62
2017,AS,Alaska Airlines Inc.,185068,30276,6830,650,14387,200,8209,1508,504,1454555,393069,55032,521631,7665,477158,16.36,48.04,7.86
2018,AS,Alaska Airlines Inc.,245761,40272,9059,601,20484,197,9932,2207,575,1942070,539827,48169,785740,7383,560951,16.39,48.22,7.9
2019,AS,Alaska Airlines Inc.,264816,48359,10954,869,21888,199,14448,3077,724,2513758,682087,72947,884600,6916,867208,18.26,51.98,9.49
2020,AS,Alaska Airlines Inc.,138226,15181,4162,376,6474,215,3953,5481,279,726076,248862,24310,210203,7467,235234,10.98,47.83,5.25
2021,AS,Alaska Airlines Inc.,188955,31835,9432,750,12839,388,8426,3217,432,1527982,529056,68981,432507,15106,482332,16.85,48.0,8.09
2022,AS,Alaska Airlines Inc.,51291,9428,3028,208,3475,57,2660,1759,144,471695,173824,15812,119068,2330,160661,18.38,50.03,9.2
2018,G4,Allegiant Air,96071,21196,6298,1056,4886,96,8860,769,260,1563342,580598,88629,222706,3479,667930,22.06,73.76,16.27
2019,G4,Allegiant Air,105132,21491,5693,1528,5284,102,8884,623,238,1503593,542810,120185,223116,3752,613730,20.44,69.96,14.3
2020,G4,Allegiant Air,98453,13429,3851,937,3468,73,5100,14285,499,1042359,397318,76390,196863,2501,369287,13.64,77.62,10.59
2021,G4,Allegiant Air,115881,32707,8570,1540,8180,237,14181,3829,250,2235514,717637,127957,384523,13177,992220,28.22,68.35,19.29
2022,G4,Allegiant Air,29152,9157,2319,306,2664,27,3841,1850,58,581080,167239,31676,126275,951,254939,31.41,63.46,19.93
2012,AA,American Airlines Inc.,433695,96432,30601,3909,31106,96,30721,8335,1604,5520689,1842524,313236,1254787,3611,2106531,22.23,57.25,12.73
2013,AA,American Airlines Inc.,531415,107546,30712,4580,32091,87,40076,9718,1767,6287044,1894959,337356,1394323,6384,2654022,20.24,58.46,11.83
2014,AA,American Airlines Inc.,531688,118450,33721,4701,37692,96,42239,8433,1945,7062537,2167208,400951,1618738,4186,2871454,22.28,59.62,13.28
2015,AA,American Airlines Inc.,718758,128425,41626,5231,41877,379,39311,10879,2114,7727441,2705059,462153,1742039,15808,2802382,17.87,60.17,10.75
2016,AA,American Airlines Inc.,905340,173396,52704,5714,61213,476,53288,10793,2195,10585997,3572661,544798,2621984,21635,3824919,19.15,61.05,11.69
2017,AA,American Airlines Inc.,888641,160479,47073,4581,59346,421,49059,11797,1979,9667057,3147985,403530,2552366,22681,3540495,18.06,60.24,10.88
2018,AA,American Airlines Inc.,910757,179279,54634,7033,60055,359,57198,14921,2340,11239893,3692136,638736,2657717,22227,4229077,19.68,62.69,12.34
2019,AA,American Airlines Inc.,940913,193928,59122,6480,59957,366,68002,20132,2373,13019884,4324154,631941,2868459,18996,5176334,20.61,67.14,13.84
2020,AA,American Airlines Inc.,565055,59040,21951,2122,20432,298,14237,34118,930,3731777,1634989,185277,764706,12759,1134046,10.45,63.21,6.6
2021,AA,American Airlines Inc.,728229,123386,47433,5183,30679,767,39324,16404,2079,9190991,3775609,527054,1412279,35044,3441005,16.94,74.49,12.62
2022,AA,American Airlines Inc.,203616,34849,12775,1018,10431,167,10459,9036,384,2482456,1066009,113901,430380,6678,865488,17.12,71.23,12.19
2012,MQ,American Eagle Airlines Inc.,400018,65072,17897,4532,19040,34,23569,8623,985,3920530,1279161,391928,862498,1907,1385036,16.27,60.25,9.8
2013,MQ,American Eagle Airlines Inc.,439865,105983,23535,7911,31810,35,42693,15701,1026,6576260,1716605,643256,1577059,2348,2636992,24.09,62.05,14.95
2014,MQ,American Eagle Airlines Inc.,99989,25045,5626,1864,8646,4,8905,8358,264,1542855,390147,161617,421365,154,569572,25.05,61.6,15.43
2012,DL,Delta Air Lines Inc.,616787,80382,24888,1931,29606,28,23929,3242,1114,4500411,1717134,154189,1185775,1567,1441746,13.03,55.99,7.3
2013,DL,Delta Air Lines Inc.,751224,112682,37419,3436,41364,74,30388,2430,1332,6613140,2681013,332946,1743998,7758,1847425,15.0,58.69,8.8
2014,DL,Delta Air Lines Inc.,796207,121828,39173,5393,43924,42,33297,6471,1369,6930890,2680103,492902,1823252,3556,1931077,15.3,56.89,8.7
2015,DL,Delta Air Lines Inc.,871543,117397,38300,6259,39382,49,33407,3799,1772,7196480,2693234,597091,1769986,3769,2132400,13.47,61.3,8.26
2016,DL,Delta Air Lines Inc.,918382,118414,40547,4990,38900,93,33884,4103,1733,8131248,3351074,488155,1854695,5782,2431542,12.89,68.67,8.85
2017,DL,Delta Air Lines Inc.,919971,123588,40304,6373,42558,120,34233,8853,1803,8746671,3268116,725212,2301699,8220,2443424,13.43,70.77,9.51
2018,DL,Delta Air Lines Inc.,946433,129741,39313,6867,47146,102,36314,3522,1913,8485066,2903504,727294,2326589,5870,2521809,13.71,65.4,8.97
2019,DL,Delta Air Lines Inc.,988786,142565,44406,5315,52390,131,40323,1838,2114,9747816,3479914,659228,2709864,8800,2890010,14.42,68.37,9.86
2020,DL,Delta Air Lines Inc.,578598,49718,17773,1571,20385,136,9852,28637,810,2953539,1363527,170468,743788,7544,667703,8.59,59.41,5.1
2021,DL,Delta Air Lines Inc.,743873,85363,36988,3184,25946,374,18870,3617,1314,5642672,2946328,351944,1031299,23463,1289638,11.48,66.1,7.59
2022,DL,Delta Air Lines Inc.,206171,31598,13174,1122,9021,44,8237,3554,354,2152694,1070288,121369,380255,2525,578257,15.33,68.13,10.44
2013,9E,Endeavor Air Inc.,119950,17163,5361,496,6132,28,5146,1691,186,961559,357433,38390,242851,1141,321744,14.31,56.03,8.02
2018,9E,Endeavor Air Inc.,245917,43995,10437,1604,15359,17,16579,6355,560,3418240,885775,249632,946306,1063,1335464,17.89,77.7,13.9
2019,9E,Endeavor Air Inc.,257132,44250,10354,1544,14615,15,17723,4257,527,3516969,908448,217522,929069,647,1461283,17.21,79.48,13.68
2020,9E,Endeavor Air Inc.,211398,15734,5544,670,5014,21,4485,6942,241,1096659,462983,79534,217076,888,336178,7.44,69.7,5.19
2021,9E,Endeavor Air Inc.,266702,22653,8202,1276,7069,38,6068,986,422,1619356,650080,187317,311623,1716,468620,8.49,71.49,6.07
2022,9E,Endeavor Air Inc.,61892,9625,2567,469,3532,12,3045,2458,122,747330,235551,86107,169225,451,255996,15.55,77.64,12.07
2014,MQ,Envoy Air,292712,75347,17073,3437,27371,138,27328,12798,757,4110020,1039219,300667,1207211,5271,1557652,25.74,54.55,14.04
2015,MQ,Envoy Air,294632,60547,15827,4367,18514,184,21656,15025,816,3812234,1055033,402305,930774,7049,1417073,20.55,62.96,12.94
2018,MQ,Envoy Air,296001,57109,12181,3381,20332,76,21138,10655,849,3422049,790986,302642,961348,2747,1364326,19.29,59.92,11.56
2019,MQ,Envoy Air,327007,65843,13460,3647,22845,74,25818,11430,919,4283274,997041,362038,1136823,3019,1784353,20.14,65.05,13.1
2020,MQ,Envoy Air,211268,26524,5642,1560,11894,62,7367,11202,354,1478335,379748,155664,431808,2305,508810,12.55,55.74,7.0
2021,MQ,Envoy Air,255710,38845,9425,3062,14026,108,12224,5700,666,2462661,602846,334425,643547,5067,876776,15.19,63.4,9.63
2022,MQ,Envoy Air,65505,9831,2730,778,3156,47,3120,3092,124,580412,174701,71196,134809,1758,197948,15.01,59.04,8.86
2012,EV,ExpressJet Airlines Inc.,628447,132918,39527,3211,32147,60,57973,13324,1546,8866004,2934764,288383,1680281,2701,3959875,21.15,66.7,14.11
2013,EV,ExpressJet Airlines Inc.,748696,180484,47014,3230,52242,91,77907,21307,2201,11855385,3366064,312367,2859779,5278,5311897,24.11,65.69,15.83
2014,EV,ExpressJet Airlines Inc.,686021,164412,45005,2535,49688,55,67129,34128,2128,10822734,3335616,276162,2680248,2833,4527875,23.97,65.83,15.78
2015,EV,ExpressJet Airlines Inc.,571977,109184,31088,1650,36423,0,40023,15231,1994,6850156,2363973,169313,1687894,0,2628976,19.09,62.74,11.98
2016,EV,ExpressJet Airlines Inc.,490990,85667,26323,1083,26166,0,32095,11889,1577,6309623,2523487,124933,1372877,0,2288326,17.45,73.65,12.85
2017,EV,ExpressJet Airlines Inc.,339541,66125,19631,760,21068,0,24666,9966,1001,5407415,2120692,97604,1325476,0,1863643,19.47,81.78,15.93
2018,EV,ExpressJet Airlines Inc.,202890,41470,10524,919,16186,0,13842,5670,637,3355094,1144431,131747,1030225,0,1048691,20.44,80.9,16.54
2019,EV,ExpressJet Airlines Inc.,37584,8682,2033,164,3695,0,2790,1923,114,709163,219514,26816,242156,0,220677,23.1,81.68,18.87
2019,EV,ExpressJet Airlines LLC,97099,24357,5773,566,10234,0,7784,4163,303,2169338,668782,83680,785970,0,630906,25.08,89.06,22.34
2020,EV,ExpressJet Airlines LLC,52135,5315,1145,150,2896,0,1124,4035,119,318521,92899,17326,141347,0,66949,10.19,59.93,6.11
2012,F9,Frontier Airlines Inc.,66808,14107,3985,144,5884,0,4093,186,105,647288,180527,11141,221294,0,234326,21.12,45.88,9.69
2013,F9,Frontier Airlines Inc.,75612,19950,4360,260,9402,0,5928,283,119,1118193,229551,19914,446957,0,421771,26.38,56.05,14.79
2014,F9,Frontier Airlines Inc.,85474,21654,3977,233,11082,0,6361,357,149,1327023,254513,20749,533348,0,518413,25.33,61.28,15.53
2015,F9,Frontier Airlines Inc.,90836,23570,5160,229,11228,0,6954,588,158,1583839,346950,21616,581234,0,634039,25.95,67.2,17.44
2016,F9,Frontier Airlines Inc.,95121,21484,5514,277,8383,0,7310,1179,150,1521172,373745,26202,420193,0,701032,22.59,70.8,15.99
2017,F9,Frontier Airlines Inc.,102600,21089,5385,233,7750,0,7720,936,152,1442443,339284,18295,371889,0,712781,20.55,68.4,14.06
2018,F9,Frontier Airlines Inc.,118805,33742,9676,309,9864,0,13893,2312,182,2472852,683494,24240,466745,0,1298373,28.4,73.29,20.81
2019,F9,Frontier Airlines Inc.,134068,33510,9263,472,11123,0,12652,2266,197,2299617,606428,34993,564413,0,1093783,24.99,68.62,17.15
2020,F9,Frontier Airlines Inc.,89718,9774,3066,159,3789,0,2760,4623,66,564462,186288,10286,156530,0,211358,10.89,57.75,6.29
2021,F9,Frontier Airlines Inc.,134680,29315,9315,655,10074,0,9270,1903,177,1991363,639920,61445,501672,0,788306,21.77,67.93,14.79
2022,F9,Frontier Airlines Inc.,35304,10739,3617,173,3300,0,3648,1577,58,773506,267511,14767,172627,0,318601,30.42,72.03,21.91
2012,HA,Hawaiian Airlines Inc.,62623,3923,2556,17,40,17,1293,57,29,182767,130085,782,3370,385,48145,6.26,46.59,2.92
2013,HA,Hawaiian Airlines Inc.,72180,4682,2948,67,89,10,1569,68,49,222028,157334,3087,3893,778,56936,6.49,47.42,3.08
2014,HA,Hawaiian Airlines Inc.,74620,5804,3472,73,256,6,1997,158,77,245325,159611,5315,8846,289,71264,7.78,42.27,3.29
2015,HA,Hawaiian Airlines Inc.,76156,8601,4664,305,207,13,3412,171,60,339854,195084,11429,6241,401,126699,11.29,39.51,4.46
2016,HA,Hawaiian Airlines Inc.,76668,6634,3679,259,193,29,2474,118,83,272107,167593,10633,7638,800,85443,8.65,41.02,3.55
2017,HA,Hawaiian Airlines Inc.,80053,9118,5004,354,253,21,3486,230,81,387114,218169,15261,7729,653,145302,11.39,42.46,4.84
2018,HA,Hawaiian Airlines Inc.,83601,8603,5409,269,230,40,2655,250,97,383052,247856,13412,8675,1362,111747,10.29,44.53,4.58
2019,HA,Hawaiian Airlines Inc.,83771,9545,6102,364,197,95,2787,137,65,384356,246895,14083,5597,5202,112579,11.39,40.27,4.59
2020,HA,Hawaiian Airlines Inc.,40388,2679,1950,60,24,15,631,2141,34,117780,79577,4527,1272,448,31956,6.63,43.96,2.92
2021,HA,Hawaiian Airlines Inc.,60536,5656,3876,131,60,35,1554,264,41,248481,176241,10289,2110,1278,58563,9.34,43.93,4.1
2022,HA,Hawaiian Airlines Inc.,16856,2585,1644,76,15,19,830,252,20,126438,72813,6843,1380,622,44780,15.34,48.91,7.5
2021,QX,Horizon Air,111628,14185,4794,445,4052,56,4838,2096,172,692198,268645,30121,125621,1919,265892,12.71,48.8,6.2
2022,QX,Horizon Air,23019,3861,1341,170,930,11,1408,667,57,204786,78356,11501,30694,410,83825,16.77,53.04,8.9
2012,B6,JetBlue Airways,182324,36841,11840,685,11518,104,12694,2243,381,2351467,767424,72102,573016,3910,935015,20.21,63.83,12.9
2013,B6,JetBlue Airways,227089,55688,15957,733,19503,193,19302,1941,586,3412453,992929,66825,966840,9328,1376531,24.52,61.28,15.03
2014,B6,JetBlue Airways,234969,51408,14603,1167,18912,174,16552,5866,667,3055923,872462,132040,907813,7411,1136197,21.88,59.44,13.01
2015,B6,JetBlue Airways,252791,56105,17078,1158,18646,199,19024,4161,703,3444861,1000036,110048,968082,10099,1356596,22.19,61.4,13.63
2016,B6,JetBlue Airways,268193,62918,20366,1211,18968,237,22136,3685,642,4063638,1222063,133712,995263,11660,1700940,23.46,64.59,15.15
2017,B6,JetBlue Airways,286445,73437,21895,1158,23043,197,27144,7526,723,5332754,1489219,120801,1444753,11197,2266784,25.64,72.62,18.62
2018,B6,JetBlue Airways,292565,77788,25073,1300,23552,176,27686,6297,814,5379038,1714631,136945,1296756,8086,2222620,26.59,69.15,18.39
2019,B6,JetBlue Airways,284080,70466,23345,1169,20642,127,25183,3656,903,5765937,1935784,146395,1322704,6201,2354853,24.8,81.83,20.3
2020,B6,JetBlue Airways,136441,16180,6238,306,5463,40,4134,7665,298,981949,437067,27121,216086,1662,300013,11.86,60.69,7.2
2021,B6,JetBlue Airways,192010,48804,21636,1030,12478,392,13268,3168,800,3526417,1599460,121826,583505,20815,1200811,25.42,72.26,18.37
2022,B6,JetBlue Airways,62105,19098,8264,291,4443,89,6011,3683,222,1569093,703988,40489,236927,5087,582602,30.75,82.16,25.27
2012,YV,Mesa Airlines Inc.,110941,15128,4724,416,3740,67,6181,1636,158,851838,286466,33355,127708,2144,402165,13.64,56.31,7.68
2013,YV,Mesa Airlines Inc.,140922,28042,7441,838,7111,140,12511,3654,172,1695330,466250,68812,250481,6067,903720,19.9,60.46,12.03
2018,YV,Mesa Airlines Inc.,215138,42691,13717,2682,10590,133,15569,5530,515,3099586,1063183,271529,461173,6589,1297112,19.84,72.61,14.41
2019,YV,Mesa Airlines Inc.,227888,46688,14644,2727,10039,92,19187,6709,593,3780724,1275476,311986,492172,3364,1697726,20.49,80.98,16.59
2020,YV,Mesa Airlines Inc.,136198,16521,5695,887,5585,33,4321,8250,280,1213523,479354,96718,245678,1203,390570,12.13,73.45,8.91
2021,YV,Mesa Airlines Inc.,159809,31246,10165,2607,8405,61,10007,4818,471,2678336,956207,299990,420688,3444,998007,19.55,85.72,16.76
2022,YV,Mesa Airlines Inc.,31099,5602,2556,318,1443,10,1276,2234,70,496684,263898,39269,74407,427,118683,18.01,88.66,15.97
2018,OH,PSA Airlines Inc.,278457,56160,15518,2835,13577,108,24122,11870,803,3691868,1010601,240128,584563,5073,1851503,20.17,65.74,13.26
2019,OH,PSA Airlines Inc.,289304,55727,14282,2331,13576,98,25439,6826,831,3811148,998668,218639,607727,4379,1981735,19.26,68.39,13.17
2020,OH,PSA Airlines Inc.,192614,25345,6925,1116,7453,81,9771,14108,422,1741881,539878,107599,273091,3476,817837,13.16,68.73,9.04
2021,OH,PSA Airlines Inc.,222611,31688,8880,1637,9930,167,11074,2278,503,2178336,684814,164702,382617,6784,939419,14.23,68.74,9.79
2022,OH,PSA Airlines Inc.,58962,12266,3278,440,3026,47,5474,3267,150,945246,277843,55210,131155,2110,478928,20.8,77.06,16.03
2013,9E,Pinnacle Airlines Inc.,176751,33573,9635,951,12861,40,10086,5504,421,2157650,701948,92337,634203,2077,727085,18.99,64.27,12.21
2018,YX,Republic Airline,316090,56901,11512,1782,25268,53,18286,10100,738,3634942,805672,181742,1294023,2442,1351063,18.0,63.88,11.5
2019,YX,Republic Airline,329149,61705,11250,1682,27682,69,21022,7692,842,4295677,867103,199471,1571102,3877,1654124,18.75,69.62,13.05
2020,YX,Republic Airline,219751,17872,4743,663,7822,45,4600,10518,321,1088769,330350,66439,338732,1927,351321,8.13,60.92,4.95
2021,YX,Republic Airline,333063,45516,14382,1718,17155,142,12120,5850,749,3089559,1114075,200325,779592,5794,989773,13.67,67.88,9.28
2022,YX,Republic Airline,81983,16128,4272,437,6468,28,4923,5194,261,1082704,332946,49581,308227,1123,390827,19.67,67.13,13.21
2012,OO,SkyWest Airlines Inc.,522573,87045,20149,1215,23892,95,41694,8951,1003,4833080,1181160,87647,1078314,4083,2481876,16.66,55.52,9.25
2013,OO,SkyWest Airlines Inc.,626359,111864,26081,2232,31791,156,51604,13926,1611,6517526,1694065,182183,1450952,8047,3182279,17.86,58.26,10.41
2014,OO,SkyWest Airlines Inc.,613030,125024,29934,2128,36176,193,56593,18308,1648,7236415,1991706,184342,1582523,7489,3470355,20.39,57.88,11.8
2015,OO,SkyWest Airlines Inc.,588353,107795,27269,2834,32042,222,45428,9960,1579,6506580,2043703,250325,1333972,9896,2868684,18.32,60.36,11.06
2016,OO,SkyWest Airlines Inc.,605933,97028,23742,3083,30365,140,39698,8446,1909,6747878,2259043,327641,1385439,7025,2768730,16.01,69.55,11.14
2017,OO,SkyWest Airlines Inc.,706527,128688,30938,4000,38441,168,55141,10458,2055,10080739,3573708,492706,1855990,8786,4149549,18.21,78.33,14.27
2018,OO,SkyWest Airlines Inc.,774137,143012,32049,6535,46165,161,58102,10610,2731,11077383,3563222,921265,2247545,11642,4333709,18.47,77.46,14.31
2019,OO,SkyWest Airlines Inc.,836445,153115,38783,7209,44671,228,62224,17453,3153,12956867,4599093,1124530,2371100,14599,4847545,18.31,84.62,15.49
2020,OO,SkyWest Airlines Inc.,597021,57969,33426,6122,10420,125,7876,24955,1343,4607735,2722464,652049,560161,5960,667101,9.71,79.49,7.72
2021,OO,SkyWest Airlines Inc.,753417,116693,70584,12774,4583,264,28488,13412,2134,9847884,5592325,1323333,454654,14185,2463387,15.49,84.39,13.07
2022,OO,SkyWest Airlines Inc.,179022,31786,20211,3496,491,83,7505,7095,540,2640657,1555715,362244,56571,4664,661463,17.76,83.08,14.75
2012,WN,Southwest Airlines Co.,962321,162293,50170,4101,27529,738,79755,7700,1647,7935918,2335620,312525,1081603,21817,4184353,16.86,48.9,8.25
2013,WN,Southwest Airlines Co.,1128958,252462,74064,5661,45114,837,126786,8440,2095,11629998,3169071,446576,1746510,24167,6243674,22.36,46.07,10.3
2014,WN,Southwest Airlines Co.,1171232,298304,90622,5872,47536,393,153881,15150,2728,15324527,4426486,477807,1938021,13735,8468478,25.47,51.37,13.08
2015,WN,Southwest Airlines Co.,1258563,235980,73836,6642,42305,335,112863,16041,3406,12339042,3818734,542941,1665107,11787,6300473,18.75,52.29,9.8
2016,WN,Southwest Airlines Co.,1296078,230127,64881,6261,49131,463,109391,15849,3059,11534402,3252665,513020,1894058,19618,5855041,17.76,50.12,8.9
2017,WN,Southwest Airlines Co.,1325454,262520,71822,5983,56462,440,127814,17926,2405,12822031,3476411,499444,2200199,22873,6623104,19.81,48.84,9.67
2018,WN,Southwest Airlines Co.,1348420,259323,81929,4514,52065,836,119979,18267,2666,13141788,4136755,350028,2171765,40286,6442954,19.23,50.68,9.75
2019,WN,Southwest Airlines Co.,1360008,232263,79340,4013,46460,826,101624,33573,2754,12050616,4086158,338058,1995153,44342,5586905,17.08,51.88,8.86
2020,WN,Southwest Airlines Co.,958214,55711,21406,1337,14703,210,18055,77631,1018,2452292,991699,80200,500979,7427,871987,5.81,44.02,2.56
2021,WN,Southwest Airlines Co.,1060554,231140,90821,2967,38370,820,98161,23492,2369,11825020,4439442,247943,1607695,33766,5496174,21.79,51.16,11.15
2022,WN,Southwest Airlines Co.,291202,60066,24021,471,10128,214,25232,12271,444,3056081,1165913,39778,420530,8397,1421463,20.63,50.88,10.49
2015,NK,Spirit Air Lines,116298,33929,7673,495,16832,141,8789,1993,180,2146433,464854,43988,936161,5139,696291,29.17,63.26,18.46
2016,NK,Spirit Air Lines,136889,32355,5202,369,20494,91,6199,2612,196,2058156,324368,29830,1227641,3456,472861,23.64,63.61,15.04
2017,NK,Spirit Air Lines,155417,30310,5846,565,16753,120,7026,5051,207,2103995,437171,46166,1041045,5696,573917,19.5,69.42,13.54
2018,NK,Spirit Air Lines,174294,30843,5229,799,18680,110,6024,1736,310,2296773,405749,68805,1233027,5447,583745,17.7,74.47,13.18
2019,NK,Spirit Air Lines,201142,37289,7977,1034,18757,156,9365,3533,359,2615667,572758,99953,1154938,5696,782322,18.54,70.15,13.0
2020,NK,Spirit Air Lines,131409,14433,3981,547,6628,174,3103,2907,242,891862,269703,38579,332424,6760,244396,10.98,61.79,6.79
2021,NK,Spirit Air Lines,185416,37049,10341,1455,15526,709,9018,5505,405,2415788,675670,124883,833761,37051,744423,19.98,65.21,13.03
2022,NK,Spirit Air Lines,52056,13396,3719,338,5897,176,3266,1541,89,887517,262122,26031,330120,7262,261982,25.73,66.25,17.05
2012,US,US Airways Inc.,335135,44005,12970,887,20381,191,9576,3594,447,2018707,673818,65909,753018,7525,518437,13.13,45.87,6.02
2013,US,US Airways Inc.,409799,71147,20121,1255,32901,296,16573,4026,588,3397043,1074610,99435,1262568,11516,948914,17.36,47.75,8.29
2014,US,US Airways Inc.,412236,71804,23297,1639,29800,341,16727,6720,741,3484460,1242495,129771,1145627,13181,953386,17.42,48.53,8.45
2015,US,US Airways Inc.,197293,36183,11332,801,15093,161,8795,4060,422,1817973,626537,69894,595536,6097,519909,18.34,50.24,9.21
2012,UA,United Air Lines Inc.,447300,98080,33544,1719,32735,188,29894,6762,997,5731005,1905615,133428,1442233,9371,2240358,21.93,58.43,12.81
2013,UA,United Air Lines Inc.,503298,98152,30656,2693,36236,107,28460,4910,1181,5799570,1720537,200072,1705605,6061,2167295,19.5,59.09,11.52
2014,UA,United Air Lines Inc.,490655,109300,36225,3628,37791,7,31649,7299,1200,6438812,1970539,279850,1784886,208,2403329,22.28,58.91,13.12
2015,UA,United Air Lines Inc.,512599,103910,37728,4107,29118,22,32936,6547,1380,6728554,2190271,323441,1502138,1218,2711486,20.27,64.75,13.13
2016,UA,United Air Lines Inc.,541451,92152,28712,3478,30505,21,29437,5438,1402,6316836,1837975,307716,1649757,2078,2519310,17.02,68.55,11.67
2017,UA,United Air Lines Inc.,581280,96977,23855,2861,40249,11,30002,5878,1306,6745907,1665709,271910,2273123,540,2534625,16.68,69.56,11.61
2018,UA,United Air Lines Inc.,618478,118953,26641,4542,50534,4,37232,4878,1744,8259607,1891536,489243,2630741,304,3247783,19.23,69.44,13.35
2019,UA,United Air Lines Inc.,621672,131369,27682,4948,53480,33,45226,5370,1814,9948779,2120619,601483,3094528,1794,4130355,21.13,75.73,16.0
2020,UA,United Air Lines Inc.,305303,27351,7944,950,10842,2,7614,22524,461,1724204,555274,93717,459791,194,615228,8.96,63.04,5.65
2021,UA,United Air Lines Inc.,441877,75310,24811,3449,25517,32,21502,6071,1069,4867931,1542706,362720,1129176,1913,1831416,17.04,64.64,11.02
2022,UA,United Air Lines Inc.,139144,26672,10170,518,7692,5,8287,4004,239,1744382,632220,65477,347091,232,699362,19.17,65.4,12.54
2012,VX,Virgin America,46791,7714,1357,1088,2976,25,2269,233,67,547606,75471,36328,271582,705,163520,16.49,70.99,11.7
2013,VX,Virgin America,57133,9892,1907,1189,3751,51,2994,261,90,687659,104426,41564,311105,5712,224852,17.31,69.52,12.04
2014,VX,Virgin America,57510,10199,1878,1231,4094,47,2949,335,119,667475,100494,44487,310494,1689,210311,17.73,65.45,11.61
2015,VX,Virgin America,61903,11778,2411,1106,3999,44,4218,534,121,663117,130710,35264,239808,1826,255509,19.03,56.3,10.71
2016,VX,Virgin America,69121,15577,3246,1224,5339,77,5691,669,195,888885,172168,44201,324994,3655,343867,22.54,57.06,12.86
2017,VX,Virgin America,70981,19991,3523,830,8571,72,6996,1033,269,1183669,189385,34598,529907,3989,425790,28.16,59.21,16.68
2018,VX,Virgin America,17670,3440,829,27,1759,19,806,433,84,185850,53089,1824,80848,801,49288,19.47,54.03,10.52