year,airport_code,airport_name,total_flights,total_delays,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,total_delayed_min,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,pct_delayed,avg_delayed_min,avg_delayed_flight
2012,BWI,Baltimore/Washington International Thurgood Marshall,87782,15898,3795,664,5244,61,6133,1296,268,878643,203981,66115,239846,1810,366891,18.11,55.27,10.01
2013,BWI,Baltimore/Washington International Thurgood Marshall,100319,19549,5106,642,4984,41,8775,878,208,1001339,251165,54395,217580,1169,477030,19.49,51.22,9.98
2014,BWI,Baltimore/Washington International Thurgood Marshall,90845,18808,5488,578,3819,41,8882,1549,181,1011652,287338,48419,164550,1195,510150,20.7,53.79,11.14
2015,BWI,Baltimore/Washington International Thurgood Marshall,94105,16295,4726,672,3953,35,6909,1509,334,899109,261054,53176,169393,1279,414207,17.32,55.18,9.55
2016,BWI,Baltimore/Washington International Thurgood Marshall,96211,14273,4119,599,3604,45,5906,1655,179,804186,233132,54878,170809,1982,343385,14.84,56.34,8.36
2017,BWI,Baltimore/Washington International Thurgood Marshall,101019,16023,4592,572,3853,47,6959,1790,138,888101,257528,49846,171857,2420,406450,15.86,55.43,8.79
2018,BWI,Baltimore/Washington International Thurgood Marshall,106736,18010,5290,529,5005,51,7136,2375,306,1042644,302651,43963,257641,1858,436531,16.87,57.89,9.77
2019,BWI,Baltimore/Washington International Thurgood Marshall,104659,15810,5117,456,3869,66,6301,2621,231,938826,297029,40184,201045,3173,397395,15.11,59.38,8.97
2020,BWI,Baltimore/Washington International Thurgood Marshall,71605,4586,1603,181,1439,13,1350,4775,112,226199,83814,12662,53227,376,76120,6.4,49.32,3.16
2021,BWI,Baltimore/Washington International Thurgood Marshall,75370,13084,4767,325,2712,88,5193,1958,108,712586,252247,26327,123114,4115,306783,17.36,54.46,9.45
2022,BWI,Baltimore/Washington International Thurgood Marshall,19415,3553,1270,51,764,25,1443,991,25,192615,68664,4839,31578,882,86652,18.3,54.21,9.92
2012,CLT,Charlotte Douglas International,114203,14874,3990,400,5605,44,4835,1198,159,736258,230132,29865,191271,1536,283454,13.02,49.5,6.45
2013,CLT,Charlotte Douglas International,148747,26662,6524,718,10275,69,9077,1968,159,1366775,381796,59105,376038,3144,546692,17.92,51.26,9.19
2014,CLT,Charlotte Douglas International,112256,18556,5604,487,6994,37,5434,2145,214,918174,317901,36081,250019,1683,312490,16.53,49.48,8.18
2015,CLT,Charlotte Douglas International,109895,16747,4984,494,6252,41,4976,1374,156,853232,287342,42851,224526,1389,297124,15.24,50.95,7.76
2016,CLT,Charlotte Douglas International,110687,15678,4594,489,5719,40,4835,1447,182,886522,304649,53078,223870,1569,303356,14.16,56.55,8.01
2017,CLT,Charlotte Douglas International,113086,16238,4967,460,5372,35,5404,1412,192,953566,334953,37257,208256,2199,370901,14.36,58.72,8.43
2018,CLT,Charlotte Douglas International,233309,37044,9406,1341,10197,54,16046,6626,540,2387124,700441,125672,425407,2871,1132733,15.88,64.44,10.23
2019,CLT,Charlotte Douglas International,235490,37378,9475,1181,9937,62,16722,4129,585,2626871,829400,115737,444659,2624,1234451,15.87,70.28,11.15
2020,CLT,Charlotte Douglas International,170823,16587,4531,601,5652,62,5741,10493,318,1150191,404170,64542,224517,2562,454400,9.71,69.34,6.73
2021,CLT,Charlotte Douglas International,201902,24335,8241,1166,6203,134,8591,2588,423,1916961,799863,113371,270930,6486,726311,12.05,78.77,9.49
2022,CLT,Charlotte Douglas International,47238,7173,2304,260,1816,40,2754,2063,51,560196,229344,31937,72842,1825,224248,15.18,78.1,11.86
2012,ORD,Chicago O'Hare International,262155,48766,11181,1399,16542,51,19592,5291,562,3291854,938885,137547,879307,3163,1332952,18.6,67.5,12.56
2013,ORD,Chicago O'Hare International,306532,70470,12930,1528,26657,55,29300,9999,709,4907425,1069112,150468,1618998,2923,2065924,22.99,69.64,16.01
2014,ORD,Chicago O'Hare International,287377,77824,12926,1691,35024,51,28131,14355,831,5034412,979714,172545,1964820,1906,1915427,27.08,64.69,17.52
2015,ORD,Chicago O'Hare International,313514,62123,12972,1869,25538,67,21677,9350,794,4280327,1008666,195856,1481971,2979,1590855,19.82,68.9,13.65
2016,ORD,Chicago O'Hare International,243889,44845,9633,1221,19731,50,14210,4300,595,3225362,807994,130520,1178262,2677,1105909,18.39,71.92,13.22
2017,ORD,Chicago O'Hare International,266377,46519,9680,1253,18360,64,17163,3907,670,3599611,1025954,155544,1041613,3426,1373074,17.46,77.38,13.51
2018,ORD,Chicago O'Hare International,332942,67188,12912,2336,28125,65,23750,7620,1041,5234855,1283802,303117,1749501,4248,1894187,20.18,77.91,15.72
2019,ORD,Chicago O'Hare International,339569,74056,13897,2403,31100,65,26591,11006,904,6369681,1530375,358262,2267606,3163,2210275,21.81,86.01,18.76
2020,ORD,Chicago O'Hare International,189598,17101,5642,838,6449,36,4136,11796,180,1340050,528631,99596,351910,1372,358541,9.02,78.36,7.07
2021,ORD,Chicago O'Hare International,240928,38482,13267,1790,11997,128,11300,4890,599,3171615,1149103,222483,745890,6262,1047877,15.97,82.42,13.16
2022,ORD,Chicago O'Hare International,61734,11720,4171,458,3333,43,3715,3208,151,919973,338854,65021,189243,2588,324267,18.98,78.5,14.9
2012,DFW,Dallas/Fort Worth International,230329,36839,8872,1438,10128,34,16367,4646,1039,2344621,765116,135937,414684,1362,1027522,15.99,63.65,10.18
2013,DFW,Dallas/Fort Worth International,286430,53882,11165,1958,16027,56,24675,7467,1170,3398736,1020957,179299,648849,2971,1546660,18.81,63.08,11.87
2014,DFW,Dallas/Fort Worth International,278310,59908,12513,2164,18917,59,26255,7324,1164,3887857,1102516,225335,810345,2308,1747353,21.53,64.9,13.97
2015,DFW,Dallas/Fort Worth International,260615,46733,12332,1908,14644,92,17757,7178,1212,3257391,1104544,194790,648045,3993,1306019,17.93,69.7,12.5
2016,DFW,Dallas/Fort Worth International,196031,34736,9828,961,11046,74,12828,2445,787,2580526,930467,101244,532264,3843,1012708,17.72,74.29,13.16
2017,DFW,Dallas/Fort Worth International,181208,29245,7961,863,9328,72,11021,2068,532,2146478,766476,89370,434805,4125,851702,16.14,73.4,11.85
2018,DFW,Dallas/Fort Worth International,279272,52591,12392,2380,17601,108,20110,5835,1258,3835082,1149608,255813,896001,4177,1529483,18.83,72.92,13.73
2019,DFW,Dallas/Fort Worth International,304346,60257,13958,2645,19823,131,23700,8276,1272,4626406,1363865,328590,1084179,5812,1843960,19.8,76.78,15.2
2020,DFW,Dallas/Fort Worth International,225816,30609,7422,1327,13613,118,8128,11885,641,2030234,680081,140214,522879,4212,682848,13.55,66.33,8.99
2021,DFW,Dallas/Fort Worth International,280342,52065,13946,3100,16920,192,17907,9254,1226,4318176,1377492,356835,917498,9188,1657163,18.57,82.94,15.4
2022,DFW,Dallas/Fort Worth International,65774,9552,3205,423,2440,36,3449,3832,148,799901,334422,56244,109436,1620,298179,14.52,83.74,12.16
2012,DEN,Denver International,198457,31622,8658,633,8770,86,13475,1617,282,1640222,503305,45359,306439,2646,782473,15.93,51.87,8.26
2013,DEN,Denver International,226491,48897,11412,1273,17096,107,19008,2898,727,2727186,672094,108236,764358,3619,1178879,21.59,55.77,12.04
2014,DEN,Denver International,224067,48459,11650,1343,15666,45,19755,3475,772,2823593,730877,115172,708713,1730,1267101,21.63,58.27,12.6
2015,DEN,Denver International,214135,40223,10822,1328,12760,50,15263,2352,685,2444176,721574,113352,559985,1524,1047741,18.78,60.77,11.41
2016,DEN,Denver International,226225,34641,9377,1175,10926,39,13124,3223,881,2183431,678164,103460,474356,1466,925985,15.31,63.03,9.65
2017,DEN,Denver International,223234,34953,9390,1007,10466,56,14034,1592,363,2178541,689272,91965,446034,2422,948848,15.66,62.33,9.76
2018,DEN,Denver International,236020,39624,10670,1104,11915,70,15865,1910,699,2588140,822460,106600,515997,3280,1139803,16.79,65.32,10.97
2019,DEN,Denver International,252064,48783,12022,1477,18413,90,16781,5153,779,3395183,1001814,176072,930655,3868,1282774,19.35,69.6,13.47
2020,DEN,Denver International,198494,17930,7455,694,6151,53,3578,11162,223,1153099,582875,68879,246709,2055,252581,9.03,64.31,5.81
2021,DEN,Denver International,261236,47903,18488,1821,14180,102,13312,5829,897,3249621,1370959,193389,746185,5351,933737,18.34,67.84,12.44
2022,DEN,Denver International,62388,13079,5167,319,3200,31,4362,2895,49,845351,359748,35235,132214,1038,317116,20.96,64.63,13.55
2012,DTW,Detroit Metro Wayne County,78776,11202,3307,342,3251,14,4288,773,132,649086,212266,30163,126968,654,279035,14.22,57.94,8.24
2013,DTW,Detroit Metro Wayne County,163461,25164,6251,898,7909,35,10071,2580,273,1568591,481661,86900,350423,1820,647787,15.39,62.33,9.6
2014,DTW,Detroit Metro Wayne County,105984,16714,5027,538,4501,17,6631,1868,190,1007096,351368,49072,179677,731,426248,15.77,60.25,9.5
2015,DTW,Detroit Metro Wayne County,118311,18883,5503,580,5768,25,7006,1349,113,1208397,423478,55511,241463,974,486971,15.96,63.99,10.21
2016,DTW,Detroit Metro Wayne County,124127,17017,5073,524,4504,26,6890,938,134,1310991,517322,54745,216155,1264,521505,13.71,77.04,10.56
2017,DTW,Detroit Metro Wayne County,126699,18352,5138,629,4711,39,7834,1283,136,1479476,551210,78201,236654,2177,611234,14.48,80.62,11.68
2018,DTW,Detroit Metro Wayne County,157488,23184,6242,1085,6300,37,9520,1508,188,1730209,553139,136781,313118,1802,725369,14.72,74.63,10.99
2019,DTW,Detroit Metro Wayne County,161741,24463,6544,1154,6263,39,10463,1690,247,1920005,611145,180248,312788,2075,813749,15.12,78.49,11.87
2020,DTW,Detroit Metro Wayne County,109201,8667,3579,617,2410,41,2019,4334,65,639101,325328,75498,92580,1912,143783,7.94,73.74,5.85
2021,DTW,Detroit Metro Wayne County,128909,16131,7282,1145,3538,94,4072,1103,160,1228116,640298,116656,153389,4925,312848,12.51,76.13,9.53
2022,DTW,Detroit Metro Wayne County,31234,5720,2567,486,1073,28,1566,1050,8,473340,236461,65811,47387,1160,122521,18.31,82.75,15.15
2012,IAH,George Bush Intercontinental/Houston,150709,28050,7507,588,8231,45,11679,1926,452,1719303,512226,50694,374237,1654,780492,18.61,61.29,11.41
2013,IAH,George Bush Intercontinental/Houston,181073,33827,8047,904,10673,33,14170,2280,499,2015326,527771,73494,472645,1545,939871,18.68,59.58,11.13
2014,IAH,George Bush Intercontinental/Houston,174235,35570,8674,1093,11907,7,13888,4297,625,2159809,569617,97762,554958,213,937259,20.41,60.72,12.4
2015,IAH,George Bush Intercontinental/Houston,159910,29808,7761,1012,10966,24,10045,2520,731,1891591,534640,90672,531360,1068,733851,18.64,63.46,11.83
2016,IAH,George Bush Intercontinental/Houston,137092,19908,5196,692,7709,22,6289,1818,613,1408841,414482,74151,453376,1319,465513,14.52,70.77,10.28
2017,IAH,George Bush Intercontinental/Houston,129224,17351,4335,554,6502,17,5942,3599,374,1226123,370329,58549,346512,718,450015,13.43,70.67,9.49
2018,IAH,George Bush Intercontinental/Houston,173782,29939,6623,1378,13033,29,8876,1964,553,2009128,551656,147536,604124,1591,704221,17.23,67.11,11.56
2019,IAH,George Bush Intercontinental/Houston,179682,36267,7476,1550,15297,29,11915,2790,607,2705542,702130,180368,800580,1254,1021210,20.18,74.6,15.06
2020,IAH,George Bush Intercontinental/Houston,102215,9942,3317,508,4246,18,1853,5694,210,644708,285942,41768,174000,1010,141988,9.73,64.85,6.31
2021,IAH,George Bush Intercontinental/Houston,128984,21493,7627,1482,6796,67,5521,2797,350,1558738,608450,156516,340039,4086,449647,16.66,72.52,12.08
2022,IAH,George Bush Intercontinental/Houston,30751,5698,2339,218,1571,14,1557,1080,96,410792,184104,25187,76731,625,124145,18.53,72.09,13.36
2012,ATL,Hartsfield-Jackson Atlanta International,330845,48223,11663,1075,17229,43,18213,2414,559,2863487,952040,85180,667517,1614,1157136,14.58,59.38,8.66
2013,ATL,Hartsfield-Jackson Atlanta International,398882,72292,15779,2124,27456,65,26867,3450,655,4366598,1308657,189817,1149654,4471,1713999,18.12,60.4,10.95
2014,ATL,Hartsfield-Jackson Atlanta International,369842,62396,15565,1658,20718,41,24415,6483,655,3782402,1283531,154554,836447,1778,1506092,16.87,60.62,10.23
2015,ATL,Hartsfield-Jackson Atlanta International,379498,55176,15762,1701,17395,64,20253,2752,1124,3612426,1337001,172089,776964,3016,1323356,14.54,65.47,9.52
2016,ATL,Hartsfield-Jackson Atlanta International,384252,49607,14631,1388,13830,48,19710,2350,736,3648623,1480491,133662,637554,2083,1394833,12.91,73.55,9.5
2017,ATL,Hartsfield-Jackson Atlanta International,364596,50392,13936,1484,14831,76,20065,5501,832,3776552,1414933,176471,776768,4324,1404056,13.82,74.94,10.36
2018,ATL,Hartsfield-Jackson Atlanta International,390079,60324,14791,2409,21211,74,21839,2611,752,4125306,1290423,267479,1008770,3889,1554745,15.46,68.39,10.58
2019,ATL,Hartsfield-Jackson Atlanta International,395026,55657,14670,2231,18008,85,20664,2501,794,3852883,1309590,243450,814901,4504,1480438,14.09,69.23,9.75
2020,ATL,Hartsfield-Jackson Atlanta International,255282,19704,6623,943,7045,57,5036,11984,440,1360528,617264,92090,290809,2965,357400,7.72,69.05,5.33
2021,ATL,Hartsfield-Jackson Atlanta International,313292,35147,13070,1387,9396,162,11132,2161,405,2387961,1108818,124618,396045,8744,749736,11.22,67.94,7.62
2022,ATL,Hartsfield-Jackson Atlanta International,75091,10999,3974,397,2890,36,3703,1578,171,776519,340281,46939,123036,1731,264532,14.65,70.6,10.34
2012,JFK,John F. Kennedy International,82182,15147,3888,445,5907,32,4875,1531,294,963678,261936,29989,307044,1362,363347,18.43,63.62,11.73
2013,JFK,John F. Kennedy International,111349,25535,5388,613,11876,52,7607,2007,259,1638490,364538,45461,677338,3550,547603,22.93,64.17,14.71
2014,JFK,John F. Kennedy International,100550,22254,5158,575,9997,37,6486,2380,389,1374408,339558,54180,532508,1437,446725,22.13,61.76,13.67
2015,JFK,John F. Kennedy International,102094,21792,5068,535,9567,46,6577,2014,258,1520945,352494,47351,621688,2587,496825,21.35,69.79,14.9
2016,JFK,John F. Kennedy International,97726,21128,5533,504,8107,56,6928,1290,275,1509759,404967,43866,499348,3071,558507,21.62,71.46,15.45
2017,JFK,John F. Kennedy International,94419,23243,4911,457,10866,56,6954,2188,252,1946640,403113,49518,885388,3018,605603,24.62,83.75,20.62
2018,JFK,John F. Kennedy International,129684,27454,6401,736,11684,57,8576,3543,438,2134443,499583,97110,803734,2775,731241,21.17,77.75,16.46
2019,JFK,John F. Kennedy International,127130,25178,6583,558,9498,61,8478,2074,387,2094560,582891,71352,677274,3270,759773,19.8,83.19,16.48
2020,JFK,John F. Kennedy International,57030,5270,1914,118,1732,22,1483,3564,78,359515,159347,9793,73789,815,115771,9.24,68.22,6.3
2021,JFK,John F. Kennedy International,82662,15178,6096,414,4327,113,4228,1125,307,1195331,515416,58536,213623,6251,401505,18.36,78.75,14.46
2022,JFK,John F. Kennedy International,32772,7317,2500,131,2211,33,2443,1633,73,555786,221651,16762,95484,1626,220263,22.33,75.96,16.96
2012,LGA,LaGuardia,84032,17144,3427,547,9002,12,4156,3032,381,1086610,235452,52555,513499,338,284766,20.4,63.38,12.93
2013,LGA,LaGuardia,104660,25263,4695,833,13129,22,6585,3319,545,1643485,332343,72556,789217,735,448634,24.14,65.06,15.7
2014,LGA,LaGuardia,106952,25458,5588,911,12147,15,6798,4762,433,1570252,389195,70093,675616,611,434737,23.8,61.68,14.68
2015,LGA,LaGuardia,108151,26273,5936,990,12751,36,6559,4534,659,1666938,392325,80114,746480,1655,446364,24.29,63.45,15.41
2016,LGA,LaGuardia,96586,24243,5431,858,12265,37,5652,2388,506,1640329,426810,69194,727588,1782,414955,25.1,67.66,16.98
2017,LGA,LaGuardia,93334,22647,4771,764,11358,26,5728,2939,505,1705835,434535,68528,748653,1638,452481,24.26,75.32,18.28
2018,LGA,LaGuardia,171082,40113,7512,1657,20018,47,10878,6896,811,2964882,644002,186641,1275501,3091,855647,23.45,73.91,17.33
2019,LGA,LaGuardia,171665,44856,7519,1320,24119,35,11863,4889,953,3488493,690959,164583,1639700,1941,991310,26.13,77.77,20.32
2020,LGA,LaGuardia,68752,7371,1889,268,3507,16,1691,5491,108,512508,150736,26166,201970,696,132940,10.72,69.53,7.45
2021,LGA,LaGuardia,87384,12241,4696,538,3638,77,3292,1471,422,874278,345039,71024,200879,4539,252797,14.01,71.42,10.01
2022,LGA,LaGuardia,41657,9088,2373,348,3964,23,2380,2914,206,645374,189190,38647,222671,1089,193777,21.82,71.01,15.49
2012,BOS,Logan International,86971,16006,4874,403,5316,21,5392,1354,62,917886,283898,29277,235002,873,368836,18.4,57.35,10.55
2013,BOS,Logan International,111365,22400,6182,592,7220,37,8369,1633,148,1284965,350989,40414,331758,1773,560031,20.11,57.36,11.54
